Customer ID,Product,Quantity,Unit Price (USD),Total Price (USD),Purchase Date,Customer Name,Industry,Annual Revenue (USD),Number of Employees,Customer Priority,Rating,Account Type,Location,Current Products,Product Usage (%),Cross-Sell Synergy,Last Activity Date,Opportunity Stage,Opportunity Amount (USD),Opportunity Type,Competitors,Activity Status,Activity Priority,Activity Type,Product SKU
C001,Drill Bits,9,250,2250,11/27/2024,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C001,Protective Gloves,9,1000,9000,10/23/2024,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C002,Drills,4,100,400,6/10/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C002,Backup Batteries,9,100,900,6/15/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Advanced Analytics,8,250,2000,7/10/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C002,Backup Batteries,8,750,6000,10/20/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C002,Protective Gloves,4,1000,4000,10/11/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Generators,5,250,1250,3/25/2025,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C002,Generators,7,250,1750,3/18/2025,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C005,Workflow Automation,5,500,2500,9/25/2024,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C001,Generators,1,1000,1000,9/27/2024,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C005,Safety Gear,3,100,300,1/1/2025,United Oil & Gas Corp.,Energy,5600000000,145000,High,Hot,Customer - Direct,"New York, NY, USA",Workflow Automation,60,"AI Insights Module, J",11/19/2024,Negotiation/Review,270000,Existing Customer - Upgrade,"Caterpillar, Hawkpower",Open,Medium,Call,SL9080
C003,Protective Gloves,2,750,1500,3/22/2025,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Workflow Automation,6,1000,6000,5/18/2025,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C002,Drills,2,250,500,10/6/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,9,500,4500,10/7/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C003,API Integrations,5,750,3750,6/27/2024,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,Drill Bits,9,1000,9000,4/17/2025,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
C004,Backup Batteries,9,250,2250,12/26/2024,Grand Hotels & Resorts,Hospitality,500000000,5600,High,Warm,Customer - Direct,"Chicago, IL, USA",Reporting Dashboard,65,"API Integrations, H",11/19/2024,Closed Won,210000,Existing Customer - Upgrade,Fujitsu,Completed,High,Email,GC3040
C001,Drill Bits,6,750,4500,5/31/2025,Edge Communications,Electronics,139000000,1000,Medium,Hot,Customer - Direct,"Austin, TX, USA",Core Management Platform,100,"Collaboration Suite, E",11/19/2024,Closed Won,75000,New Customer,"John Deere, Mitsubishi",Completed,High,Call,GC1060
C003,Advanced Analytics,6,750,4500,7/7/2024,Pyramid Construction Inc.,Construction,950000000,2680,High,Warm,Customer - Channel,"Paris, France",Advanced Analytics,70,"Workflow Automation, G",11/19/2024,Prospecting,10000,Existing Customer - Upgrade,Caterpillar,Open,High,Call,GC5020
C002,API Integrations,1,500,500,6/26/2024,Burlington Textiles Corp,Apparel,350000000,9000,High,Warm,Customer - Direct,"Burlington, NC, USA",Collaboration Suite,85,"Advanced Analytics, F",11/19/2024,Closed Won,235000,New Customer,John Deere,Completed,Medium,Email,GC1040
